shelter_id,name,region,dong,facility_type,address,open_time,close_time,is_night_open,ac_count,fan_count,capacity
1,동인동 주민센터,대구 중구,동인동,공공시설,대구 중구 동인동 53번지,09:00,18:00,N,2,1,34
2,포정동 경로당,대구 중구,포정동,사회복지시설,대구 중구 포정동 16번지,09:00,17:00,N,3,3,11
3,동인동 노인복지관,대구 중구,동인동,사회복지시설,대구 중구 동인동 102번지,09:00,18:00,N,2,0,37
4,포정동 은행 지점,대구 중구,포정동,금융통신시설,대구 중구 포정동 143번지,09:00,16:00,N,2,3,19
5,동인동 종합사회복지관,대구 중구,동인동,사회복지시설,대구 중구 동인동 111번지,09:00,20:00,N,4,2,34
6,남산동 경로당,대구 중구,남산동,사회복지시설,대구 중구 남산동 184번지,09:00,17:00,N,1,3,13
7,남산동 체육센터 로비,대구 중구,남산동,공공시설,대구 중구 남산동 64번지,06:00,21:00,Y,5,3,57
8,대신동 경로당,대구 중구,대신동,사회복지시설,대구 중구 대신동 296번지,09:00,17:00,N,3,2,21
9,삼덕동 경로당,대구 중구,삼덕동,사회복지시설,대구 중구 삼덕동 41번지,09:00,17:00,N,1,1,19
10,삼덕동 경로당,대구 중구,삼덕동,사회복지시설,대구 중구 삼덕동 187번지,09:00,17:00,N,2,2,24
11,삼덕동 작은도서관,대구 중구,삼덕동,공공시설,대구 중구 삼덕동 274번지,09:00,23:00,Y,2,0,20
12,효목동 보건소,대구 동구,효목동,공공시설,대구 동구 효목동 167번지,09:00,18:00,N,3,2,27
13,신암동 노인복지관,대구 동구,신암동,사회복지시설,대구 동구 신암동 138번지,09:00,18:00,N,2,2,32
14,신암동 노인복지관,대구 동구,신암동,사회복지시설,대구 동구 신암동 256번지,09:00,18:00,N,4,2,26
15,불로동 보건소,대구 동구,불로동,공공시설,대구 동구 불로동 127번지,09:00,18:00,N,2,2,24
16,혁신동 청소년문화의집,대구 동구,혁신동,공공시설,대구 동구 혁신동 113번지,10:00,21:00,N,3,3,36
17,효목동 청소년문화의집,대구 동구,효목동,공공시설,대구 동구 효목동 82번지,10:00,21:00,N,2,0,29
18,혁신동 은행 지점,대구 동구,혁신동,금융통신시설,대구 동구 혁신동 240번지,09:00,16:00,N,2,3,16
19,안심동 주민센터,대구 동구,안심동,공공시설,대구 동구 안심동 275번지,09:00,18:00,N,4,0,33
20,지저동 작은도서관,대구 동구,지저동,공공시설,대구 동구 지저동 135번지,09:00,22:00,Y,1,3,15
21,안심동 종합사회복지관,대구 동구,안심동,사회복지시설,대구 동구 안심동 260번지,09:00,20:00,N,3,2,56
22,안심동 노인복지관,대구 동구,안심동,사회복지시설,대구 동구 안심동 277번지,09:00,18:00,N,2,2,25
23,안심동 행정복지센터,대구 동구,안심동,공공시설,대구 동구 안심동 58번지,09:00,18:00,N,5,3,41
24,평리동 노인복지관,대구 서구,평리동,사회복지시설,대구 서구 평리동 41번지,09:00,18:00,N,2,1,38
25,내당동 보건소,대구 서구,내당동,공공시설,대구 서구 내당동 244번지,09:00,18:00,N,2,1,24
26,원대동 종합사회복지관,대구 서구,원대동,사회복지시설,대구 서구 원대동 277번지,09:00,23:00,Y,4,1,59
